"stop_id","stop_lat","stop_lon"
"B01059P","-6.120868","106.89439"
"B02129P","-6.289301","106.77299"
"B05950P","-6.327861","106.80061"
"B02106P","-6.144916","106.78076"
"B05704P","-6.166565","106.79025"
"B03102P","-6.13934","106.96917"
"B02881P","-6.128057","106.92596"
"B05672P","-6.142042","106.90862"
"B03000P","-6.182228","106.90901"
"B06179P","-6.133735","106.93576"
"B05725P","-6.17356","106.84213"
"B05723P","-6.198002","106.89099"
"B02817P","-6.213297","106.72492"
"B05711P","-6.221557","106.93248"
"B05723P","-6.198002","106.89099"
"B05723P","-6.198002","106.89099"
"B06177P","-6.248386","106.91713"
"B02828P","-6.261841","106.8657"
"B02289P","-6.22628","106.91579"
"B01984P","-6.238159","106.94153"
"B05707P","-6.224516","106.86685"
"B04568P","-6.23711","106.94312"
"B06277P","-6.233937","106.8477"
"B06706P","-6.242064","106.85845"
"B01798P","-6.154249","106.70544"
"B03015P","-6.188874","106.73514"
"B05705P","-6.16618","106.79329"
"B03246P","-6.167009","106.87376"
"B03000P","-6.182228","106.90901"
"B00868P","-6.347277","106.79695"
"B01084P","-6.227649","106.89623"
"B05723P","-6.198002","106.89099"
"B05106P","-6.109565","106.68406"
"B03000P","-6.182228","106.90901"
"B06717P","-6.249943","106.938978"
"B05707P","-6.224516","106.86685"
"B04936P","-6.177303","106.91253"
"B01961P","-6.152025","106.85383"
"B05707P","-6.224516","106.86685"
"B05725P","-6.17356","106.84213"
"B02679P","-6.237807","106.7674"
"B06650P","-6.289748","106.770854"
"B05511P","-6.225525","106.85813"
"B05729P","-6.109718","106.8834"
"B05728P","-6.1098","106.88118"
"B05728P","-6.1098","106.88118"
"B05727P","-6.106652","106.92171"
"B05941P","-6.09627","106.9608"
"B02828P","-6.261841","106.8657"
"B00281P","-6.280969","106.85517"
"B00236P","-6.250807","106.87364"
"B02029P","-6.284809","106.90458"
"B00256P","-6.263478","106.86694"
"B02295P","-6.249332","106.89109"
"B00328P","-6.233341","106.91006"
"B05942P","-6.14963","106.92147"
"B05728P","-6.1098","106.88118"
"B05772P","-6.21662","106.8628"
"B01147P","-6.327961","106.80054"
"B05715P","-6.283048","106.84371"
"B06168P","-6.124086","106.91736"
"B06173P","-6.149932","106.95478"
